participant_code,include_all_contacts,diary_contact_idx,contact_age_or_range,contact_age_or_mid_range,contact_gender,contact_member,skin_contact,non_physical_contact,total_time,house_contact,work_contact,school_contact,transport_contact,other_contact,how_often,record_time,record_date
41323143,1,12,1,53,1,997,9001,2,4,9001,9001,9001,9001,9001,4,736696.454166667,371
41323143,1,13,1,17,1,997,9001,2,4,9001,9001,9001,9001,9001,4,736696.454166667,371
41323143,1,14,1,52,2,997,9001,2,4,9001,9001,9001,9001,997,4,736696.454166667,371
41323143,1,15,1,23,1,997,9001,2,4,9001,9001,9001,9001,997,2,736696.454166667,371
41323143,1,16,1,19,2,1,9001,2,4,9001,9001,9001,9001,997,1,736696.455555556,371
41323143,1,17,1,25,2,997,9001,2,4,9001,9001,9001,9001,9001,4,736696.455555556,371
41323143,1,18,1,25,2,997,9001,2,4,9001,9001,9001,9001,997,4,736696.455555556,371
41323143,1,19,1,51,2,997,9001,9001,5,9001,9001,9001,9001,9001,1,736696.45625,371
35411283,1,1,1,36,1,5,9001,2,5,9001,2,9001,9001,9001,1,736696.463888889,369
35411283,1,2,1,30,2,5,9001,9001,5,9001,2,9001,9001,9001,2,736696.463888889,369
35411283,1,3,1,40,1,5,9001,2,5,9001,2,9001,9001,9001,1,736696.464583333,369
35411283,1,4,1,40,1,5,9001,2,5,9001,2,9001,9001,9001,1,736696.464583333,369
35411283,1,5,1,64,2,1,9001,2,5,1,9001,9001,9001,9001,1,736696.465277778,369
35411283,1,6,1,65,1,1,9001,2,5,1,9001,9001,9001,9001,1,736696.465972222,369
35411283,1,7,2,45,1,997,9001,2,1,9001,9001,9001,4,9001,5,736696.465972222,369
35411283,1,8,2,35,2,997,9001,2,4,9001,9001,9001,4,9001,5,736696.465972222,369
35411283,1,9,2,35,1,997,9001,2,3,9001,9001,9001,9001,997,5,736696.466666667,369
35411283,1,10,2,25,2,997,9001,2,3,9001,9001,9001,9001,997,5,736696.467361111,369
35411283,1,11,2,25,2,997,9001,2,3,9001,9001,9001,9001,997,5,736696.467361111,369
35411283,1,12,2,45,1,997,9001,2,4,9001,9001,9001,4,9001,5,736696.467361111,369
35411283,1,13,2,12.5,1,997,9001,9001,4,9001,9001,9001,9001,9001,5,736696.468055556,369
35411283,1,14,2,35,2,997,9001,9001,4,9001,9001,9001,9001,9001,5,736696.468055556,369
84836384,1,1,2,43,2,1,1,2,5,1,9001,9001,4,997,1,736696.383333333,354
84836384,1,2,2,18,2,1,1,2,5,1,9001,9001,4,997,1,736696.383333333,354
84836384,1,3,2,18,2,1,9001,2,3,1,9001,9001,9001,9001,1,736696.383333333,354
84836384,1,4,2,18,2,1,9001,2,3,1,9001,9001,9001,9001,1,736696.383333333,354
84836384,1,5,2,18,1,997,9001,2,2,9001,9001,9001,9001,997,3,736696.383333333,354
84836384,1,6,2,999,2,997,9001,2,1,9001,9001,9001,9001,997,5,736696.383333333,354
93799182,1,1,2,18,1,1,1,9001,4,9001,9001,9001,9001,997,4,736696.766666667,362
93799182,1,2,2,43,2,1,1,9001,2,1,9001,9001,9001,9001,1,736696.766666667,362
93799182,1,3,2,43,1,1,1,9001,2,1,9001,9001,9001,9001,1,736696.767361111,362
93799182,1,4,2,18,1,1,1,9001,1,1,9001,9001,9001,9001,2,736696.767361111,362
93799182,1,5,2,63,1,1,1,9001,2,9001,9001,9001,9001,997,4,736696.768055556,362
93799182,1,6,2,63,2,1,1,9001,2,9001,9001,9001,9001,997,4,736696.769444444,362
96732089,1,1,1,61,1,5,9001,2,5,9001,2,9001,9001,9001,2,736696.476388889,372
92769599,997,1,2,28,2,3,1,2,5,9001,9001,3,9001,9001,1,736696.873611111,350
92769599,997,2,2,28,2,3,1,2,5,9001,9001,3,9001,9001,1,736696.875694444,350
92769599,997,3,2,3,1,3,9001,2,5,9001,9001,3,9001,9001,1,736696.876388889,350
92769599,997,4,2,3,1,3,9001,2,5,9001,9001,3,9001,9001,1,736696.876388889,350
92769599,997,5,2,3,2,3,9001,2,5,9001,9001,3,9001,9001,1,736696.877083333,350
92769599,997,6,2,3,2,3,9001,2,5,9001,9001,3,9001,9001,1,736696.877083333,350
92769599,997,7,2,3,2,3,9001,2,5,9001,9001,3,9001,9001,1,736696.877777778,350
92769599,997,8,2,38,1,3,9001,2,3,9001,9001,9001,4,9001,1,736696.877777778,350
18382054,1,1,2,48,2,1,1,2,4,1,9001,9001,9001,997,1,736696.601388889,352
18382054,1,2,2,999,1,5,1,2,3,9001,2,9001,9001,9001,2,736696.602083333,352
88108809,997,1,2,13,2,1,1,2,5,1,9001,9001,9001,9001,1,736696.867361111,356
88108809,997,2,2,999,2,1,1,2,5,1,9001,9001,9001,9001,1,736696.866666667,356
88108809,997,3,2,999,1,1,1,2,5,1,9001,9001,9001,9001,1,736696.865972222,356
60050415,1,1,2,28,2,1,1,9001,5,1,9001,9001,9001,9001,2,736696.440277778,354
54775752,1,1,2,33,2,997,1,9001,1,9001,9001,9001,9001,997,2,736696.974305556,353
54775752,1,2,2,53,1,1,1,2,4,1,9001,9001,9001,9001,1,736696.975694445,353
54775752,1,3,2,48,2,1,1,2,4,1,9001,9001,9001,9001,1,736696.975694445,353
54775752,1,4,1,24,2,1,1,2,5,1,9001,9001,9001,9001,1,736696.976388889,353
19089426,997,1,2,38,2,997,9001,2,2,9001,9001,9001,9001,997,5,736696.828472222,353
41210102,1,1,2,13,2,3,9001,2,5,9001,9001,3,9001,9001,1,736696.63125,350
24286762,1,1,2,43,2,5,9001,2,5,9001,2,9001,9001,9001,1,736696.602777778,350
24286762,1,2,1,31,2,997,1,9001,3,9001,9001,9001,4,997,3,736696.603472222,350
24286762,1,3,1,30,2,997,1,9001,1,9001,9001,9001,9001,9001,4,736696.604166667,350
24286762,1,4,1,29,2,2,1,9001,4,9001,9001,9001,9001,9001,3,736696.604861111,350
65147287,997,1,2,53,2,1,1,2,5,9001,9001,9001,9001,9001,1,736696.632638889,370
65147287,997,2,2,23,2,1,9001,2,4,9001,9001,9001,9001,9001,1,736696.633333333,370
65147287,997,3,2,23,1,1,9001,2,2,9001,9001,9001,9001,9001,1,736696.633333333,370
65147287,997,4,2,38,1,5,9001,2,5,9001,9001,9001,9001,9001,1,736696.633333333,370
65147287,997,5,2,23,1,5,9001,2,5,9001,2,9001,9001,9001,1,736696.633333333,370
65147287,997,6,2,28,1,5,9001,9001,5,9001,2,9001,9001,9001,1,736696.634027778,370
70419190,1,1,2,48,1,1,1,2,1,1,9001,9001,9001,9001,1,736696.60625,354
70419190,1,2,2,48,2,1,1,9001,1,1,9001,9001,9001,9001,1,736696.606944444,354
70419190,1,3,2,18,1,997,9001,2,1,9001,9001,3,9001,9001,2,736696.607638889,354
91964417,1,1,1,29,2,1,1,2,5,1,9001,9001,9001,9001,1,736696.645833333,393
91964417,1,2,1,60,2,1,1,2,5,1,9001,9001,9001,997,1,736696.645833333,393
91964417,1,3,1,60,1,1,1,2,3,1,9001,9001,9001,997,1,736696.646527778,393
91964417,1,4,1,41,1,1,1,2,5,1,9001,9001,9001,9001,1,736696.647222222,393
91964417,1,5,1,2,1,1,1,2,4,1,9001,9001,9001,9001,1,736696.647222222,393
91964417,1,6,1,27,1,1,1,2,3,1,9001,9001,9001,9001,1,736696.647222222,393
91964417,1,7,1,31,2,1,1,2,3,1,9001,9001,9001,9001,1,736696.647916667,393
91964417,1,8,1,31,1,1,1,9001,3,1,9001,9001,9001,997,2,736696.647916667,393
93592898,997,1,2,38,2,1,1,2,5,1,9001,9001,9001,9001,1,736696.684722222,362
93592898,997,2,2,63,2,1,1,2,3,1,9001,9001,9001,9001,1,736696.686111111,362
93592898,997,3,2,13,1,1,9001,2,3,1,9001,9001,9001,9001,1,736696.686805556,362
93592898,997,4,2,48,1,5,1,2,3,9001,2,9001,4,9001,2,736696.688194444,362
84657836,1,1,2,38,1,5,9001,2,1,9001,2,9001,9001,9001,1,736696.384027778,355
84657836,1,2,2,48,2,1,1,9001,2,1,9001,9001,9001,9001,1,736696.384027778,355
84657836,1,3,2,13,2,997,9001,2,2,9001,9001,9001,9001,997,3,736696.384722222,355
84657836,1,4,2,53,2,5,9001,2,1,9001,2,9001,9001,9001,2,736696.385416667,355
84657836,1,5,2,53,1,5,9001,2,2,9001,2,9001,9001,9001,2,736696.385416667,355
79586105,1,1,2,53,2,1,1,2,5,1,9001,9001,9001,9001,1,736696.9125,357
79586105,1,2,2,48,1,5,9001,2,2,9001,2,9001,9001,9001,1,736696.9125,357
79586105,1,3,2,28,1,5,9001,2,4,9001,2,9001,9001,9001,1,736696.907638889,357
79586105,1,4,2,23,2,5,9001,2,4,9001,2,9001,9001,9001,1,736696.907638889,357
79586105,1,5,2,48,2,5,9001,2,4,9001,2,9001,9001,9001,1,736696.908333333,357
79586105,1,6,2,38,1,1,9001,2,4,1,9001,9001,9001,997,4,736696.9125,357
79586105,1,7,2,33,2,1,9001,2,4,1,9001,9001,9001,997,4,736696.9125,357
79586105,1,8,2,8,2,1,9001,2,3,1,9001,9001,9001,997,4,736696.913194445,357
79586105,1,9,2,3,1,1,1,2,3,1,9001,9001,9001,997,4,736696.913888889,357
79586105,1,10,2,23,1,5,9001,2,3,9001,2,9001,9001,9001,1,736696.914583333,357
18636645,997,1,2,58,1,997,9001,2,2,9001,9001,9001,9001,997,1,736696.967361111,358
18636645,997,2,2,38,1,5,9001,2,2,9001,2,9001,9001,9001,1,736696.968055556,358
